"spatial_unit","unit_id","unit","species","feeding_regime","forage_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP585_2050",559383.063164916,714794.655858209,155411.592693293,27.7826775472955,559383,714795,155412
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP585_2050",709617.8344426,674360.124929052,-35257.7095135472,-4.96854895723442,709618,674360,-35258
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Donkeys","Grazer","Donkey_Grazer","SSP585_2050",217239.141758468,296384.727475406,79145.585716938,36.4324702612452,217239,296385,79146
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Cattle","Grazer","Cattle_Grazer","SSP585_2050",25197.1730217503,36401.7302319115,11204.5572101612,44.467517052367,25197,36402,11205
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP585_2050",204715.644485169,284937.910939613,80222.2664544436,39.1871694301582,204716,284938,80222
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP585_2050",180153.911498059,218680.010349447,38526.0988513884,21.3851026219897,180154,218680,38526
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Donkeys","Grazer","Donkey_Grazer","SSP585_2050",90706.5830725385,125761.387476753,35054.8044042148,38.6463729718286,90707,125761,35055
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Cattle","Grazer","Cattle_Grazer","SSP585_2090",25582.7832585035,80950.9815473685,55368.1982888651,216.427578381102,25583,80951,55368
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP585_2090",279628.589035221,667913.432672542,388284.843637321,138.857348233594,279629,667913,388285
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP585_2090",459515.689437391,618351.529455488,158835.840018098,34.5659231380257,459516,618352,158836
"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Donkeys","Grazer","Donkey_Grazer","SSP585_2090",120773.279120573,293222.401498432,172449.122377859,142.78748050361,120773,293222,172449
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Cattle","Grazer","Cattle_Grazer","SSP585_2090",21676.6950502131,25981.4216982963,4304.72664808321,19.8587775401716,21677,25981,4305
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP585_2090",238303.199182753,259214.864902905,20911.6657201519,8.77523499133343,238303,259215,20912
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP585_2090",368373.525513799,354259.531575843,-14113.9939379565,-3.83143547524773,368374,354260,-14114
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Donkeys","Grazer","Donkey_Grazer","SSP585_2090",83977.7976009187,95682.1167938064,11704.3191928877,13.9373971778937,83978,95682,11704
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Cattle","Grazer","Cattle_Grazer","SSP585_2090",125955.230063464,405518.118222263,279562.888158799,221.954172143497,125955,405518,279563
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP585_2090",1544936.95300675,3201875.06662992,1656938.11362317,107.249561893024,1544937,3201875,1656938
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP585_2090",2920990.03825066,2546268.57765998,-374721.460590682,-12.8285771496536,2920990,2546269,-374721
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Donkeys","Grazer","Donkey_Grazer","SSP585_2090",523656.959974975,1365432.64914389,841775.689168915,160.749451169167,523657,1365433,841776
"Cluster","Cluster_4","Cluster E — Kunene (North)","Cattle","Grazer","Cattle_Grazer","SSP585_2090",71921.9172965913,251265.597637897,179343.680341306,249.35887012262,71922,251266,179344
"Cluster","Cluster_4","Cluster E — Kunene (North)","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP585_2090",825488.614347039,2011794.56713056,1186305.95278352,143.709547553468,825489,2011795,1186306
"Cluster","Cluster_4","Cluster E — Kunene (North)","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP585_2090",1446464.10525894,1684217.54643769,237753.441178748,16.4368711476726,1446464,1684218,237753
"Cluster","Cluster_4","Cluster E — Kunene (North)","Donkeys","Grazer","Donkey_Grazer","SSP585_2090",315078.333355653,866852.794843114,551774.46148746,175.122946605354,315078,866853,551774
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Cattle","Grazer","Cattle_Grazer","SSP585_2090",56960.0774279293,82222.7406854304,25262.6632575011,44.3515254863646,56960,82223,25263
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP585_2090",532402.668357038,681412.446483939,149009.778126901,27.9881726713985,532403,681412,149010
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP585_2090",677998.117090019,643812.579162099,-34185.5379279203,-5.04212874139612,677998,643813,-34186
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Donkeys","Grazer","Donkey_Grazer","SSP585_2090",206679.414217397,282525.589757868,75846.1755404717,36.6974987942885,206679,282526,75846
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Cattle","Grazer","Cattle_Grazer","SSP585_2090",22505.0725584961,32682.2501175051,10177.177559009,45.2217051624962,22505,32682,10177
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP585_2090",182756.375050407,255748.659594351,72992.2845439441,39.9396653188222,182756,255749,72992
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP585_2090",160558.99485455,196040.284555407,35481.2897008566,22.0985997906869,160559,196040,35481
"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Donkeys","Grazer","Donkey_Grazer","SSP585_2090",81130.3134029168,112982.838464175,31852.5250612577,39.2609417186259,81130,112983,31853
