"PA_ID","PA","Cluster","Current_Runoff_m3","SSP245_2050_With_Intervention_m3","SSP245_2050_Without_Intervention_m3","SSP245_2090_With_Intervention_m3","SSP245_2090_Without_Intervention_m3","SSP585_2050_With_Intervention_m3","SSP585_2050_Without_Intervention_m3","SSP585_2090_With_Intervention_m3","SSP585_2090_Without_Intervention_m3","Mean_With_Intervention_m3","Mean_Without_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
62,"Ombujokanguindi","Cluster E — Kunene (North)",20196828.2172816,16562568.7159078,20053200.1305833,15521392.8678045,18788583.2324581,15879701.065115,19226307.6268923,14879466.5231234,18011597.9247092,15710782.2929877,19019922.2286607,-3309139.93567304,-17.3982832100468
63,"Otuzemba","Cluster E — Kunene (North)",14155334.2692818,11663659.5776399,14286851.8111946,11104877.169729,13602042.61336,11161457.222441,13671771.5661696,10712420.7201632,13121418.6495369,11160603.6724933,13670521.1600653,-2509917.48757198,-18.3600717060007
64,"Etanga","Cluster E — Kunene (North)",14831634.4237005,12561596.0527973,15217403.70616,11745307.3329779,14227580.8606421,12168990.575752,14741807.5070276,11616628.5470241,14071768.8170713,12023130.6271378,14564640.2227252,-2541509.59558744,-17.4498618347051
65,"Eiseb","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",148328886.06,117480080.480166,143944293.480813,114196575.098857,139919461.798808,113819182.583994,139458725.237915,108550838.934262,133002081.035031,113511669.27432,139081140.388142,-25569471.1138219,-18.3845710802081
66,"Otjambangu","Cluster E — Kunene (North)",6644672.36148989,5463410.06144931,6607037.22709664,5108531.06218572,6177796.1060835,5229492.02081782,6324144.90699406,4843645.99435118,5857456.30295706,5161269.78470101,6241608.63578282,-1080338.85108181,-17.3086605412631
67,"Sikunga","Cluster C — Kavango East, Kavango West & Zambezi",10433758.7565411,7445492.28736977,9800125.68591769,7526416.82901579,9911402.72531547,7653112.66420716,10073681.3835746,7328662.0721388,9651188.53074091,7488420.96318288,9859099.58138718,-2370678.6182043,-24.0455895453157
68,"Okongo","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",50566069.6577332,41332449.4046628,49467895.2614217,40863440.3511483,48905864.8116791,40352812.9695471,48294961.0442994,39766296.49874,47592691.4160508,40578749.8060246,48565353.1333627,-7986603.32733819,-16.4450638408962
69,"Okatjandja Kozomenje","Cluster E — Kunene (North)",12501870.292506,10071001.063267,12551669.4570341,9506803.05736209,11846030.6079336,9657231.71342367,12036086.1752924,9240745.21660491,11514807.3350524,9618945.26266442,11987148.3938281,-2368203.1311637,-19.756184318057
70,"Otjombande","Cluster E — Kunene (North)",6681206.70850683,5461236.31893075,6715575.79731166,5171221.95141886,6358880.75611683,5231607.87046625,6433191.40495565,5007723.40168949,6157819.84233155,5217947.38562634,6416366.95017892,-1198419.56455258,-18.6775409489192
71,"Sobbe","Cluster C — Kavango East, Kavango West & Zambezi",12810904.3874019,10146597.1784304,12040396.3293874,10225507.6186096,12113925.5112568,10337298.2492899,12268396.545558,9901231.64750168,11731585.1486643,10152658.6734579,12038575.8837166,-1885917.21025877,-15.6656171666422
