"species","feeding_group","habitat_profile","body_mass_kg","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","estimate_status","total_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Giraffe","Browser","Woodland_Browser",850,7756.25,136833909.976211,17641.7611572874,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",17641.7611572874,0,0,17642,0
"Hartmann's zebra","Grazer","Arid_Grazer",280,2555,84772840.3411658,33179.1938712978,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",33179.1938712978,0,0,33179,0
"Hippopotamus","Grazer","Wetland_Grazer",1400,12775,68807068.3289527,5386.07188484953,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",5386.07188484953,0,0,5386,0
"Impala","Mixed","Mixed_Open",50,456.25,122249149.758546,267943.34193654,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",267943.34193654,0,0,267943,0
"Klipspringer","Browser","Rocky_Browser",11,100.375,104291073.300415,1039014.42889579,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",1039014.42889579,0,0,1039014,0
"Kudu","Browser","Woodland_Browser",190,1733.75,136833909.976211,78923.6683352333,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",78923.6683352333,0,0,78924,0
"Leopard","Carnivore","Carnivore",50,,,,"Prey biomass required - not estimated from forage","Not estimated: requires local preferred-prey biomass/density data",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",,,,,
"Ostrich","Mixed","Mixed_Open",100,912.5,122249149.758546,133971.67096827,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",133971.67096827,0,0,133972,0
"Red Hartebeest","Grazer","General_Grazer",150,1368.75,95561513.9240069,69816.6311773566,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",69816.6311773566,0,0,69817,0
"Red Lechwe","Grazer","Wetland_Grazer",80,730,68807068.3289527,94256.2579848667,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",94256.2579848667,0,0,94256,0
"Reedbuck","Grazer","Wetland_Grazer",45,410.625,68807068.3289527,167566.680861985,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",167566.680861985,0,0,167567,0
"Roan","Grazer","General_Grazer",240,2190,95561513.9240069,43635.3944858479,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",43635.3944858479,0,0,43635,0
"Sable","Grazer","General_Grazer",200,1825,95561513.9240069,52362.4733830175,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",52362.4733830175,0,0,52362,0
"Spotted Hyaena","Carnivore","Carnivore",55,,,,"Prey biomass required - not estimated from forage","Not estimated: requires local preferred-prey biomass/density data",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",,,,,
"Springbok","Grazer","Arid_Grazer",38,346.75,84772840.3411658,244478.270630615,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",244478.270630615,0,0,244478,0
"Steenbok","Browser","Shrub_Browser",10,91.25,143827489.189156,1576191.66234691,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",1576191.66234691,0,0,1576192,0
"Vervet monkey","Omnivore","Omnivore",5,45.625,94821598.6231134,2078281.61365728,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",2078281.61365728,0,0,2078282,0
"Warthog","Grazer","General_Grazer",70,638.75,95561513.9240069,149607.066808621,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",149607.066808621,0,0,149607,0
"Baboon","Omnivore","Omnivore",24,219,726434292.125253,3317051.56221577,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",3317051.56221577,0,0,3317052,0
