"spatial_unit","unit_id","unit","species","feeding_group","habitat_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Black-backed Jackal","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Black-faced Impala","Mixed","Mixed_Open","SSP245_2050",1999249.01023493,3109025.7336423,1109776.72340736,55.5096797710531,1999249,3109026,1109777
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Blue wildebeest","Grazer","General_Grazer","SSP245_2050",251358.628716938,803315.037987914,551956.409270976,219.589202920323,251359,803315,551956
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Buffalo","Grazer","General_Grazer","SSP245_2050",110597.796635453,353458.616714682,242860.82007923,219.589202920323,110598,353459,242861
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Burchell's zebra","Grazer","General_Grazer","SSP245_2050",172809.057242895,552279.088616691,379470.031373796,219.589202920322,172809,552279,379470
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Bushpig","Omnivore","Omnivore","SSP245_2050",1270969.23029244,1270971.533458,2.30316555779427,0.000181213321526622,1270969,1270972,2
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Cheetah","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Damara dik dik","Browser","Shrub_Browser","SSP245_2050",30223017.9009357,14139919.4069295,-16083098.4940062,-53.2147337063527,30223018,14139919,-16083098
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Duiker","Browser","Woodland_Browser","SSP245_2050",7344092.30631441,3254384.65341375,-4089707.65290067,-55.6870404445265,7344092,3254385,-4089708
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Eland","Mixed","Mixed_Open","SSP245_2050",199924.901023493,310902.57336423,110977.672340736,55.5096797710531,199925,310903,110978
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Elephant","Mixed","Large_Mixed","SSP245_2050",32686.7636351747,33835.9488441576,1149.18520898291,3.51575096821838,32687,33836,1149
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Gemsbok","Mixed","Arid_Mixed","SSP245_2050",475059.470701281,700998.87959733,225939.408896049,47.5602367346804,475059,700999,225939
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Giraffe","Browser","Woodland_Browser","SSP245_2050",151201.90042412,67002.0369820477,-84199.8634420726,-55.6870404445265,151202,67002,-84200
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Hartmann's zebra","Grazer","Arid_Grazer","SSP245_2050",249673.568734018,556984.905737314,307311.337003296,123.085250297632,249674,556985,307311
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Hippopotamus","Grazer","Wetland_Grazer","SSP245_2050",11649.0775849086,55304.1820326823,43655.1044477737,374.751598395472,11649,55304,43655
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Impala","Mixed","Mixed_Open","SSP245_2050",1999249.01023493,3109025.7336423,1109776.72340736,55.5096797710531,1999249,3109026,1109777
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Klipspringer","Browser","Rocky_Browser","SSP245_2050",10301484.2918856,4818621.11174172,-5482863.18014393,-53.2240114607825,10301484,4818621,-5482863
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Kudu","Browser","Woodland_Browser","SSP245_2050",676429.554528959,299745.954919687,-376683.599609272,-55.6870404445265,676430,299746,-376684
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Leopard","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Ostrich","Mixed","Mixed_Open","SSP245_2050",999624.505117467,1554512.86682115,554888.361703681,55.5096797710531,999625,1554513,554888
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Red Hartebeest","Grazer","General_Grazer","SSP245_2050",368659.322118175,1178195.38904894,809536.066930765,219.589202920323,368659,1178195,809536
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Red Lechwe","Grazer","Wetland_Grazer","SSP245_2050",203858.857735901,967823.18557194,763964.327836039,374.751598395472,203859,967823,763964
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Reedbuck","Grazer","Wetland_Grazer","SSP245_2050",362415.747086046,1720574.55212789,1358158.80504185,374.751598395472,362416,1720575,1358159
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Roan","Grazer","General_Grazer","SSP245_2050",230412.076323859,736372.118155588,505960.041831728,219.589202920323,230412,736372,505960
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Sable","Grazer","General_Grazer","SSP245_2050",276494.491588631,883646.541786705,607152.050198074,219.589202920323,276494,883647,607152
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Spotted Hyaena","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Springbok","Grazer","Arid_Grazer","SSP245_2050",1839699.9801454,4104099.30543284,2264399.32528744,123.085250297632,1839700,4104099,2264399
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Steenbok","Browser","Shrub_Browser","SSP245_2050",15111508.9504678,7069959.70346473,-8041549.24700311,-53.2147337063527,15111509,7069960,-8041549
