"spatial_unit","unit_id","unit","climate_scenario","management_scenario","feeding_group","species_count","species_estimated","mean_species_capacity_animals","median_species_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","With_Intervention","Grazer",12,12,1392,961,543.674015667104,488.803069659889
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","With_Intervention","Mixed",6,6,1546,1207,317.451420663705,370.340697922336
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","With_Intervention","Omnivore",3,3,6274,3036,250.472747725763,250.472747725763
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","Without_Intervention","Browser",7,7,1237,227,-59.3899326689585,-52.0378792561743
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","Without_Intervention","Grazer",12,12,129,52,-69.5231575330818,-65.1082634050948
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","Without_Intervention","Mixed",6,6,129,135,-60.0419461436086,-65.4847305257665
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","Without_Intervention","Omnivore",3,3,685,331,-61.7424563414786,-61.7424563414786
"Conservancy","Conservancy_13","Kwandu","Current","Current","Browser",7,7,21801,20172,0,0
"Conservancy","Conservancy_13","Kwandu","Current","Current","Carnivore",4,0,,,,
"Conservancy","Conservancy_13","Kwandu","Current","Current","Grazer",12,12,2187,1426,0,0
"Conservancy","Conservancy_13","Kwandu","Current","Current","Mixed",6,6,3312,2489,0,0
"Conservancy","Conservancy_13","Kwandu","Current","Current","Omnivore",3,3,21641,10471,0,0
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","With_Intervention","Browser",7,7,19566,19704,-7.70429197041839,-11.3004163191159
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","With_Intervention","Grazer",12,12,1888,1224,-13.1033118542749,-14.1810719185646
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","With_Intervention","Mixed",6,6,2889,2142,-12.8809630131872,-12.4273105313701
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","With_Intervention","Omnivore",3,3,19967,9661,-7.7339230428017,-7.7339230428017
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","Without_Intervention","Browser",7,7,21360,19302,-2.76017927139159,-1.70481570046023
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","Without_Intervention","Grazer",12,12,1917,1229,-12.5061023974754,-13.8114612219672
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","Without_Intervention","Mixed",6,6,2995,2254,-9.06445511538997,-9.61969257302333
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","Without_Intervention","Omnivore",3,3,20210,9779,-6.60912873292042,-6.60912873292043
"Conservancy","Conservancy_13","Kwandu","SSP245_2090","With_Intervention","Browser",7,7,20019,18505,-8.20716034096654,-8.24486483311044
