"spatial_unit","unit_id","unit","climate_scenario","feeding_group","species_count","species_estimated","mean_intervention_benefit_animals","median_intervention_benefit_animals","mean_intervention_benefit_pct","median_intervention_benefit_pct","species_positive_benefit","species_negative_benefit"
"Conservancy","Conservancy_18","//Huab","SSP245_2090","Browser",7,7,-88268,-73750,-40.5318358441889,-39.5503543654166,0,7
"Conservancy","Conservancy_18","//Huab","SSP245_2090","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_18","//Huab","SSP245_2090","Grazer",12,12,17615,12773,188.028371436185,173.795110693396,12,0
"Conservancy","Conservancy_18","//Huab","SSP245_2090","Mixed",6,6,12684,9557,44.4984863969045,52.9657920903883,6,0
"Conservancy","Conservancy_18","//Huab","SSP245_2090","Omnivore",3,3,11512,5570,7.05549301682836,7.05549301682836,3,0
"Conservancy","Conservancy_18","//Huab","SSP585_2050","Browser",7,7,-87709,-73280,-40.2747680819458,-39.2867505572107,0,7
"Conservancy","Conservancy_18","//Huab","SSP585_2050","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_18","//Huab","SSP585_2050","Grazer",12,12,17688,12825,184.046217123813,170.656803726371,12,0
"Conservancy","Conservancy_18","//Huab","SSP585_2050","Mixed",6,6,12794,9641,44.5048207807721,52.9077965833313,6,0
"Conservancy","Conservancy_18","//Huab","SSP585_2050","Omnivore",3,3,12098,5854,7.37825576916693,7.37825576916693,3,0
"Conservancy","Conservancy_18","//Huab","SSP585_2090","Browser",7,7,-81921,-68447,-40.5341748973835,-39.5528349372407,0,7
"Conservancy","Conservancy_18","//Huab","SSP585_2090","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_18","//Huab","SSP585_2090","Grazer",12,12,16345,11852,188.01487729457,173.780980844574,12,0
"Conservancy","Conservancy_18","//Huab","SSP585_2090","Mixed",6,6,11768,8867,44.4874213438908,52.9537309802733,6,0
"Conservancy","Conservancy_18","//Huab","SSP585_2090","Omnivore",3,3,10671,5163,7.04740030569639,7.04740030569639,3,0
"Conservancy","Conservancy_19","Omatendeka","SSP245_2050","Browser",7,7,-47666,-39805,-22.6332451665435,-22.0944569983782,0,7
"Conservancy","Conservancy_19","Omatendeka","SSP245_2050","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_19","Omatendeka","SSP245_2050","Grazer",12,12,10779,7807,92.7075702688318,88.033444196128,12,0
"Conservancy","Conservancy_19","Omatendeka","SSP245_2050","Mixed",6,6,8155,6148,27.0815569531026,31.7842101064533,6,0
"Conservancy","Conservancy_19","Omatendeka","SSP245_2050","Omnivore",3,3,10740,5197,6.45511473792539,6.4551147379254,3,0
"Conservancy","Conservancy_19","Omatendeka","SSP245_2090","Browser",7,7,-46319,-38682,-22.7516482279442,-22.2148859462208,0,7
"Conservancy","Conservancy_19","Omatendeka","SSP245_2090","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_19","Omatendeka","SSP245_2090","Grazer",12,12,10353,7500,94.6503737029724,89.6611232381276,12,0
"Conservancy","Conservancy_19","Omatendeka","SSP245_2090","Mixed",6,6,7800,5880,27.0821600400971,31.8255456557058,6,0
"Conservancy","Conservancy_19","Omatendeka","SSP245_2090","Omnivore",3,3,10004,4841,6.25916758492104,6.25916758492105,3,0
"Conservancy","Conservancy_19","Omatendeka","SSP585_2050","Browser",7,7,-46073,-38475,-22.625894993891,-22.0872473328385,0,7
"Conservancy","Conservancy_19","Omatendeka","SSP585_2050","Carnivore",4,0,,,,,0,0
"Conservancy","Conservancy_19","Omatendeka","SSP585_2050","Grazer",12,12,10427,7552,92.6499524339235,87.9864090430308,12,0
"Conservancy","Conservancy_19","Omatendeka","SSP585_2050","Mixed",6,6,7890,5949,27.0886168718171,31.7903298024941,6,0
"Conservancy","Conservancy_19","Omatendeka","SSP585_2050","Omnivore",3,3,10408,5036,6.4678348548235,6.4678348548235,3,0
