"spatial_unit","unit_id","unit","species","feeding_regime","forage_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Conservancy","Conservancy_25","Okamatapati","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",29494.8576855544,78220.1400134702,48725.2823279158,165.199245398562,29495,78220,48725
"Conservancy","Conservancy_26","Otjituuo","Cattle","Grazer","Cattle_Grazer","SSP245_2050",13954.9396269598,45906.1712520292,31951.2316250695,228.960013294091,13955,45906,31951
"Conservancy","Conservancy_26","Otjituuo","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",173667.758296545,363039.110979805,189371.352683259,109.042319968166,173668,363039,189371
"Conservancy","Conservancy_26","Otjituuo","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",333279.457483118,290452.111251899,-42827.3462312189,-12.8502808287811,333279,290452,-42827
"Conservancy","Conservancy_26","Otjituuo","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",58475.7736642003,154682.131140127,96206.3574759266,164.523445261957,58476,154682,96206
"Conservancy","Conservancy_27","Ozonahi","Cattle","Grazer","Cattle_Grazer","SSP245_2050",7400.76420182881,23980.1037381235,16579.3395362947,224.021994001616,7401,23980,16579
"Conservancy","Conservancy_27","Ozonahi","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",91295.2932264105,189559.172109869,98263.8788834588,107.63301744348,91295,189559,98264
"Conservancy","Conservancy_27","Ozonahi","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",173628.368489989,151405.46569432,-22222.9027956691,-12.799119745775,173628,151405,-22223
"Conservancy","Conservancy_27","Ozonahi","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",30865.7214969574,80786.7350234605,49921.0135265032,161.736097863205,30866,80787,49921
"Conservancy","Conservancy_28","N#a Jaqna","Cattle","Grazer","Cattle_Grazer","SSP245_2050",21009.1250988404,68814.0589021075,47804.933803267,227.543667708017,21009,68814,47805
"Conservancy","Conservancy_28","N#a Jaqna","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",260211.044980641,543546.658728243,283335.613747603,108.886851351249,260211,543547,283336
