"species","feeding_regime","forage_profile","body_mass_kg","DMI_fraction","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","total_area_ha","valid_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,500131.749789502,507.490360009642,"Forage-limited potential livestock carrying capacity",15972.5041925849,15972.5041925849,0,0,"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Current","Current","Current",507.490360009642,0,0,507,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,2688078.41221011,743.898827234015,"Forage-limited potential livestock carrying capacity",18955.9067623712,18952.8565713605,3.05019101067228,0.0160909791808384,"Conservancy","Conservancy_13","Kwandu","Current","Current","Current",743.898827234015,0,0,744,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,3292366.95156903,7216.14674316499,"Forage-limited potential livestock carrying capacity",18955.9067623712,18952.8565713605,3.05019101067228,0.0160909791808384,"Conservancy","Conservancy_13","Kwandu","Current","Current","Current",7216.14674316499,0,0,7216,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,3987562.03867905,9710.95778064914,"Forage-limited potential livestock carrying capacity",18955.9067623712,18952.8565713605,3.05019101067228,0.0160909791808384,"Conservancy","Conservancy_13","Kwandu","Current","Current","Current",9710.95778064914,0,0,9711,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,2671714.89245575,2711.02475135033,"Forage-limited potential livestock carrying capacity",18955.9067623712,18952.8565713605,3.05019101067228,0.0160909791808384,"Conservancy","Conservancy_13","Kwandu","Current","Current","Current",2711.02475135033,0,0,2711,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,7788092.10515168,2155.27663073244,"Forage-limited potential livestock carrying capacity",356598.762650058,356598.762650058,0,0,"Conservancy","Conservancy_14","Orupembe","Current","Current","Current",2155.27663073244,0,0,2155,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,11866671.5248426,26009.1430681481,"Forage-limited potential livestock carrying capacity",356598.762650058,356598.762650058,0,0,"Conservancy","Conservancy_14","Orupembe","Current","Current","Current",26009.1430681481,0,0,26009,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,19735021.1108771,48060.9342121818,"Forage-limited potential livestock carrying capacity",356598.762650058,356598.762650058,0,0,"Conservancy","Conservancy_14","Orupembe","Current","Current","Current",48060.9342121818,0,0,48061,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,12290699.7320695,12471.5370188427,"Forage-limited potential livestock carrying capacity",356598.762650058,356598.762650058,0,0,"Conservancy","Conservancy_14","Orupembe","Current","Current","Current",12471.5370188427,0,0,12472,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,1829530.45401358,506.304262906762,"Forage-limited potential livestock carrying capacity",15059.6044248333,15059.6044248333,0,0,"Conservancy","Conservancy_15","Mayuni","Current","Current","Current",506.304262906762,0,0,506,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,2388620.45775814,5235.33251015483,"Forage-limited potential livestock carrying capacity",15059.6044248333,15059.6044248333,0,0,"Conservancy","Conservancy_15","Mayuni","Current","Current","Current",5235.33251015483,0,0,5235,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,3270544.04399382,7964.79523651463,"Forage-limited potential livestock carrying capacity",15059.6044248333,15059.6044248333,0,0,"Conservancy","Conservancy_15","Mayuni","Current","Current","Current",7964.79523651463,0,0,7965,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,1880219.66406548,1907.88398180161,"Forage-limited potential livestock carrying capacity",15059.6044248333,15059.6044248333,0,0,"Conservancy","Conservancy_15","Mayuni","Current","Current","Current",1907.88398180161,0,0,1908,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,1215532.36463624,336.386429953298,"Forage-limited potential livestock carrying capacity",28613.7594981845,28613.7594981845,0,0,"Conservancy","Conservancy_16","Uibasen Twyfelfontein","Current","Current","Current",336.386429953298,0,0,336,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,1348540.65681134,2955.70554917555,"Forage-limited potential livestock carrying capacity",28613.7594981845,28613.7594981845,0,0,"Conservancy","Conservancy_16","Uibasen Twyfelfontein","Current","Current","Current",2955.70554917555,0,0,2956,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,1334414.58720246,3249.71588968635,"Forage-limited potential livestock carrying capacity",28613.7594981845,28613.7594981845,0,0,"Conservancy","Conservancy_16","Uibasen Twyfelfontein","Current","Current","Current",3249.71588968635,0,0,3250,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,1461819.56905532,1483.3278224813,"Forage-limited potential livestock carrying capacity",28613.7594981845,28613.7594981845,0,0,"Conservancy","Conservancy_16","Uibasen Twyfelfontein","Current","Current","Current",1483.3278224813,0,0,1483,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,3328524.12845058,921.135776518772,"Forage-limited potential livestock carrying capacity",9566.69393843024,9566.69393843024,0,0,"Conservancy","Conservancy_17","Oskop","Current","Current","Current",921.135776518772,0,0,921,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,3166094.48452805,6939.38517156834,"Forage-limited potential livestock carrying capacity",9566.69393843024,9566.69393843024,0,0,"Conservancy","Conservancy_17","Oskop","Current","Current","Current",6939.38517156834,0,0,6939,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,1844607.33314782,4492.19441862483,"Forage-limited potential livestock carrying capacity",9566.69393843024,9566.69393843024,0,0,"Conservancy","Conservancy_17","Oskop","Current","Current","Current",4492.19441862483,0,0,4492,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,2997233.59060552,3041.3329179153,"Forage-limited potential livestock carrying capacity",9566.69393843024,9566.69393843024,0,0,"Conservancy","Conservancy_17","Oskop","Current","Current","Current",3041.3329179153,0,0,3041,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,16658845.3595542,4610.16891090471,"Forage-limited potential livestock carrying capacity",181772.062935142,181772.062935142,0,0,"Conservancy","Conservancy_18","//Huab","Current","Current","Current",4610.16891090471,0,0,4610,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,23120428.019047,50674.9107266783,"Forage-limited potential livestock carrying capacity",181772.062935142,181772.062935142,0,0,"Conservancy","Conservancy_18","//Huab","Current","Current","Current",50674.9107266783,0,0,50675,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,34555000.2649888,84152.2076468524,"Forage-limited potential livestock carrying capacity",181772.062935142,181772.062935142,0,0,"Conservancy","Conservancy_18","//Huab","Current","Current","Current",84152.2076468524,0,0,84152,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,18245735.703868,18514.1914803328,"Forage-limited potential livestock carrying capacity",181772.062935142,181772.062935142,0,0,"Conservancy","Conservancy_18","//Huab","Current","Current","Current",18514.1914803328,0,0,18514,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,18578679.9787611,5141.46394873698,"Forage-limited potential livestock carrying capacity",185429.942217289,185429.942217289,0,0,"Conservancy","Conservancy_19","Omatendeka","Current","Current","Current",5141.46394873698,0,0,5141,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,24377983.905431,53431.1976009446,"Forage-limited potential livestock carrying capacity",185429.942217289,185429.942217289,0,0,"Conservancy","Conservancy_19","Omatendeka","Current","Current","Current",53431.1976009446,0,0,53431,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,33636928.4842354,81916.4163999644,"Forage-limited potential livestock carrying capacity",185429.942217289,185429.942217289,0,0,"Conservancy","Conservancy_19","Omatendeka","Current","Current","Current",81916.4163999644,0,0,81916,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,19829398.9816329,20121.1557398609,"Forage-limited potential livestock carrying capacity",185429.942217289,185429.942217289,0,0,"Conservancy","Conservancy_19","Omatendeka","Current","Current","Current",20121.1557398609,0,0,20121,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,4400910.2373338,1217.90791125884,"Forage-limited potential livestock carrying capacity",174817.815209306,174817.815209306,0,0,"Conservancy","Conservancy_20","//Gamaseb","Current","Current","Current",1217.90791125884,0,0,1218,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,5210396.9384043,11420.0480841738,"Forage-limited potential livestock carrying capacity",174817.815209306,174817.815209306,0,0,"Conservancy","Conservancy_20","//Gamaseb","Current","Current","Current",11420.0480841738,0,0,11420,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,5948208.26650963,14485.7431147875,"Forage-limited potential livestock carrying capacity",174817.815209306,174817.815209306,0,0,"Conservancy","Conservancy_20","//Gamaseb","Current","Current","Current",14485.7431147875,0,0,14486,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,6287095.71227767,6379.59991098698,"Forage-limited potential livestock carrying capacity",174817.815209306,174817.815209306,0,0,"Conservancy","Conservancy_20","//Gamaseb","Current","Current","Current",6379.59991098698,0,0,6380,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,27523364.4990649,7616.81596763938,"Forage-limited potential livestock carrying capacity",223269.755676494,223269.755676494,0,0,"Conservancy","Conservancy_21","Ehi-Rovipuka","Current","Current","Current",7616.81596763938,0,0,7617,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,35509331.544224,77828.6718777513,"Forage-limited potential livestock carrying capacity",223269.755676494,223269.755676494,0,0,"Conservancy","Conservancy_21","Ehi-Rovipuka","Current","Current","Current",77828.6718777513,0,0,77829,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,47733104.1500401,116245.002496292,"Forage-limited potential livestock carrying capacity",223269.755676494,223269.755676494,0,0,"Conservancy","Conservancy_21","Ehi-Rovipuka","Current","Current","Current",116245.002496292,0,0,116245,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,28578736.3955987,28999.2251604249,"Forage-limited potential livestock carrying capacity",223269.755676494,223269.755676494,0,0,"Conservancy","Conservancy_21","Ehi-Rovipuka","Current","Current","Current",28999.2251604249,0,0,28999,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,2927210.26938164,810.076178049438,"Forage-limited potential livestock carrying capacity",33482.8329962821,33482.8329962821,0,0,"Conservancy","Conservancy_22","/Audi","Current","Current","Current",810.076178049438,0,0,810,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,4553761.94104637,9980.84808996465,"Forage-limited potential livestock carrying capacity",33482.8329962821,33482.8329962821,0,0,"Conservancy","Conservancy_22","/Audi","Current","Current","Current",9980.84808996465,0,0,9981,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,7784590.84466041,18957.9076886707,"Forage-limited potential livestock carrying capacity",33482.8329962821,33482.8329962821,0,0,"Conservancy","Conservancy_22","/Audi","Current","Current","Current",18957.9076886707,0,0,18958,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,3327351.47571416,3376.30794085658,"Forage-limited potential livestock carrying capacity",33482.8329962821,33482.8329962821,0,0,"Conservancy","Conservancy_22","/Audi","Current","Current","Current",3376.30794085658,0,0,3376,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,39468263.0020303,10922.4472124063,"Forage-limited potential livestock carrying capacity",299368.98295553,298572.740419566,796.242535963713,0.265973624956996,"Conservancy","Conservancy_23","Uukolonkadhi Ruacana","Current","Current","Current",10922.4472124063,0,0,10922,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,50367972.4251244,110395.556000273,"Forage-limited potential livestock carrying capacity",299368.98295553,298572.740419566,796.242535963713,0.265973624956996,"Conservancy","Conservancy_23","Uukolonkadhi Ruacana","Current","Current","Current",110395.556000273,0,0,110396,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,65783260.7561537,160202.765920618,"Forage-limited potential livestock carrying capacity",299368.98295553,298572.740419566,796.242535963713,0.265973624956996,"Conservancy","Conservancy_23","Uukolonkadhi Ruacana","Current","Current","Current",160202.765920618,0,0,160203,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,39688901.7915921,40272.8582360143,"Forage-limited potential livestock carrying capacity",299368.98295553,298572.740419566,796.242535963713,0.265973624956996,"Conservancy","Conservancy_23","Uukolonkadhi Ruacana","Current","Current","Current",40272.8582360143,0,0,40273,0
