"spatial_unit","unit_id","unit","climate_scenario","management_scenario","feeding_regime","livestock_species","mean_species_capacity_animals","median_species_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Conservancy","Conservancy_14","Orupembe","SSP585_2050","With_Intervention","Browser-Mixed",1,93734,93734,95.0326138882524,95.0326138882524
"Conservancy","Conservancy_14","Orupembe","SSP585_2050","With_Intervention","Grazer",2,35442,35442,487.173099234349,487.173099234349
"Conservancy","Conservancy_14","Orupembe","SSP585_2050","With_Intervention","Grazer-Mixed",1,123315,123315,374.120269442728,374.120269442728
"Conservancy","Conservancy_14","Orupembe","SSP585_2050","Without_Intervention","Browser-Mixed",1,44867,44867,-6.6450518743939,-6.6450518743939
"Conservancy","Conservancy_14","Orupembe","SSP585_2050","Without_Intervention","Grazer",2,6672,6672,-10.8381970420724,-10.8381970420724
"Conservancy","Conservancy_14","Orupembe","SSP585_2050","Without_Intervention","Grazer-Mixed",1,23323,23323,-10.3273112324778,-10.3273112324778
"Conservancy","Conservancy_14","Orupembe","SSP585_2090","With_Intervention","Browser-Mixed",1,86971,86971,80.9605568984142,80.9605568984142
"Conservancy","Conservancy_14","Orupembe","SSP585_2090","With_Intervention","Grazer",2,32942,32942,445.745470557088,445.745470557088
"Conservancy","Conservancy_14","Orupembe","SSP585_2090","With_Intervention","Grazer-Mixed",1,114574,114574,340.516222984759,340.516222984759
"Conservancy","Conservancy_14","Orupembe","SSP585_2090","Without_Intervention","Browser-Mixed",1,41386,41386,-13.8877182595541,-13.8877182595541
"Conservancy","Conservancy_14","Orupembe","SSP585_2090","Without_Intervention","Grazer",2,6144,6144,-18.1194138541457,-18.1194138541457
"Conservancy","Conservancy_14","Orupembe","SSP585_2090","Without_Intervention","Grazer-Mixed",1,21423,21423,-17.6346984390109,-17.6346984390109
"Conservancy","Conservancy_15","Mayuni","Current","Current","Browser-Mixed",1,7965,7965,0,0
"Conservancy","Conservancy_15","Mayuni","Current","Current","Grazer",2,1207,1207,0,0
"Conservancy","Conservancy_15","Mayuni","Current","Current","Grazer-Mixed",1,5235,5235,0,0
"Conservancy","Conservancy_15","Mayuni","SSP245_2050","With_Intervention","Browser-Mixed",1,7379,7379,-7.35344903601068,-7.35344903601068
"Conservancy","Conservancy_15","Mayuni","SSP245_2050","With_Intervention","Grazer",2,1206,1206,0.405963300580838,0.405963300580838
"Conservancy","Conservancy_15","Mayuni","SSP245_2050","With_Intervention","Grazer-Mixed",1,5121,5121,-2.19039618395291,-2.19039618395291
"Conservancy","Conservancy_15","Mayuni","SSP245_2050","Without_Intervention","Browser-Mixed",1,7616,7616,-4.37337602128431,-4.37337602128431
"Conservancy","Conservancy_15","Mayuni","SSP245_2050","Without_Intervention","Grazer",2,1004,1004,-17.8058906776659,-17.8058906776659
"Conservancy","Conservancy_15","Mayuni","SSP245_2050","Without_Intervention","Grazer-Mixed",1,4552,4552,-13.0564699873475,-13.0564699873475
"Conservancy","Conservancy_15","Mayuni","SSP245_2090","With_Intervention","Browser-Mixed",1,7434,7434,-6.66988195279284,-6.66988195279284
"Conservancy","Conservancy_15","Mayuni","SSP245_2090","With_Intervention","Grazer",2,1202,1202,-0.311861470322403,-0.311861470322403
"Conservancy","Conservancy_15","Mayuni","SSP245_2090","With_Intervention","Grazer-Mixed",1,5133,5133,-1.96414034544436,-1.96414034544436
"Conservancy","Conservancy_15","Mayuni","SSP245_2090","Without_Intervention","Browser-Mixed",1,7604,7604,-4.52617134764922,-4.52617134764922
"Conservancy","Conservancy_15","Mayuni","SSP245_2090","Without_Intervention","Grazer",2,946,946,-22.9431707427844,-22.9431707427844
"Conservancy","Conservancy_15","Mayuni","SSP245_2090","Without_Intervention","Grazer-Mixed",1,4378,4378,-16.3849491354095,-16.3849491354095
"Conservancy","Conservancy_15","Mayuni","SSP585_2050","With_Intervention","Browser-Mixed",1,7388,7388,-7.24177059892785,-7.24177059892785
"Conservancy","Conservancy_15","Mayuni","SSP585_2050","With_Intervention","Grazer",2,1219,1219,1.52816231689486,1.52816231689486
"Conservancy","Conservancy_15","Mayuni","SSP585_2050","With_Intervention","Grazer-Mixed",1,5162,5162,-1.40240306674704,-1.40240306674704
"Conservancy","Conservancy_15","Mayuni","SSP585_2050","Without_Intervention","Browser-Mixed",1,7632,7632,-4.17212922888578,-4.17212922888578
"Conservancy","Conservancy_15","Mayuni","SSP585_2050","Without_Intervention","Grazer",2,1006,1006,-17.6361759658867,-17.6361759658867
"Conservancy","Conservancy_15","Mayuni","SSP585_2050","Without_Intervention","Grazer-Mixed",1,4561,4561,-12.8757906325394,-12.8757906325394
"Conservancy","Conservancy_15","Mayuni","SSP585_2090","With_Intervention","Browser-Mixed",1,6963,6963,-12.5795069473403,-12.5795069473403
"Conservancy","Conservancy_15","Mayuni","SSP585_2090","With_Intervention","Grazer",2,1112,1112,-7.69667692889796,-7.69667692889796
"Conservancy","Conservancy_15","Mayuni","SSP585_2090","With_Intervention","Grazer-Mixed",1,4755,4755,-9.17492527179801,-9.17492527179801
"Conservancy","Conservancy_15","Mayuni","SSP585_2090","Without_Intervention","Browser-Mixed",1,7199,7199,-9.61524613344406,-9.61524613344406
"Conservancy","Conservancy_15","Mayuni","SSP585_2090","Without_Intervention","Grazer",2,896,896,-27.0494511612009,-27.0494511612009
"Conservancy","Conservancy_15","Mayuni","SSP585_2090","Without_Intervention","Grazer-Mixed",1,4144,4144,-20.8409130868654,-20.8409130868654
"Conservancy","Conservancy_16","Uibasen Twyfelfontein","Current","Current","Browser-Mixed",1,3250,3250,0,0
